algorithm,height,width,grid_time,real_time, generations
ant-colony,10,10,144,3.519170045852661,100
ant-colony,10,10,183,2.842479705810547,100
ant-colony,10,10,188,2.0438897609710693,100
ant-colony,10,10,143,2.636178970336914,100
ant-colony,10,10,204,2.5444371700286865,100
ant-colony,10,10,196,2.847428798675537,100
ant-colony,10,10,270,2.8495121002197266,100
ant-colony,10,10,198,3.0561540126800537,100
ant-colony,10,10,224,2.1852428913116455,100
ant-colony,10,10,-1,2.3677730560302734,100
ant-colony,10,10,-1,2.462402105331421,100
ant-colony,10,10,173,2.742253065109253,100
ant-colony,10,10,196,2.3967459201812744,100
ant-colony,10,10,144,3.819478988647461,100
ant-colony,10,10,312,2.5671660900115967,100
ant-colony,10,10,212,2.83683705329895,100
ant-colony,10,10,199,2.4624087810516357,100
ant-colony,10,10,-1,2.506578207015991,100
ant-colony,10,10,153,2.6347429752349854,100
ant-colony,10,10,202,3.1367571353912354,100
baseline,10,10,58,0.00011491775512695312,1
baseline,10,10,57,0.00012993812561035156,1
baseline,10,10,74,0.0001049041748046875,1
baseline,10,10,56,0.0001251697540283203,1
baseline,10,10,55,0.00010704994201660156,1
baseline,10,10,53,0.00012803077697753906,1
baseline,10,10,51,0.00010275840759277344,1
baseline,10,10,47,0.00012683868408203125,1
baseline,10,10,70,0.00010609626770019531,1
baseline,10,10,53,0.00010514259338378906,1
baseline,10,10,63,0.00010704994201660156,1
baseline,10,10,46,0.00012683868408203125,1
baseline,10,10,54,0.0001270771026611328,1
baseline,10,10,47,0.00015115737915039062,1
baseline,10,10,69,0.00013899803161621094,1
baseline,10,10,56,0.00012373924255371094,1
baseline,10,10,31,0.00010395050048828125,1
baseline,10,10,53,0.00010633468627929688,1
baseline,10,10,54,0.0001049041748046875,1
baseline,10,10,45,0.0001628398895263672,1
ant-colony,50,50,-1,20.50912117958069,1000
ant-colony,50,50,-1,17.45337986946106,1000
ant-colony,50,50,-1,17.315778017044067,1000
ant-colony,50,50,-1,16.1003839969635,1000
ant-colony,50,50,-1,19.458106994628906,1000
ant-colony,50,50,-1,18.812659978866577,1000
ant-colony,50,50,-1,16.712193965911865,1000
ant-colony,50,50,-1,24.454896926879883,1000
ant-colony,50,50,-1,21.149204969406128,1000
ant-colony,50,50,-1,34.307758808135986,1000
ant-colony,50,50,-1,76.43632888793945,1000
ant-colony,50,50,-1,137.03092789649963,1000
ant-colony,50,50,-1,33.31759786605835,1000
ant-colony,50,50,-1,30.418604612350464,1000
dijkstra,10,10,"[[0, 0], [0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [6, 2], [7, 2], [8, 2], [8, 3], [8, 4], [9, 4], [9, 5], [9, 6], [9, 7], [9, 9]]",0.056591033935546875,1
dijkstra,10,10,"[[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [5, 2], [5, 3], [5, 2], [5, 3], [6, 3], [7, 3], [7, 4], [7, 5], [8, 5], [7, 5], [8, 5], [7, 5], [8, 5], [8, 6], [8, 7], [9, 7], [9, 9]]",0.08159399032592773,1
dijkstra,10,10,"[9, 8]",0.024837970733642578,1
dijkstra,10,10,"[9, 8]",0.02831578254699707,1
dijkstra,10,10,"[8, 9]",0.024816036224365234,1
dijkstra,10,10,"[9, 8]",0.008759021759033203,1
dijkstra,10,10,"[9, 8]",0.2641170024871826,1
dijkstra,10,10,49,0.031823158264160156,1
dijkstra,10,10,62,0.1237039566040039,1
dijkstra,10,10,56,0.11536288261413574,1
dijkstra,10,10,45,0.0670168399810791,1
dijkstra,10,10,58,0.029658079147338867,1
dijkstra,10,10,51,0.09666585922241211,1
dijkstra,10,10,38,0.02823495864868164,1
dijkstra,10,10,32,0.03570985794067383,1
dijkstra,10,10,50,0.013093948364257812,1
dijkstra,10,10,57,0.09926199913024902,1
dijkstra,10,10,47,0.06589102745056152,1
dijkstra,10,10,53,0.016363143920898438,1
dijkstra,10,10,53,0.05617094039916992,1
dijkstra,10,10,51,0.02847886085510254,1
